* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:35:09 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
91.918953 70.837 -173.4562
92.285164 70.812 -173.5758
92.651375 70.786 -173.6943
93.017586 70.761 -173.8120
93.383797 70.736 -173.9288
93.750008 70.710 -174.0448
94.116219 70.685 -174.1602
94.482430 70.661 -174.2748
94.848641 70.636 -174.3889
95.214852 70.611 -174.5023
95.581063 70.586 -174.6151
95.947274 70.562 -174.7272
96.313485 70.537 -174.8386
96.679696 70.513 -174.9492
97.045907 70.489 -175.0588
97.412118 70.465 -175.1676
97.778329 70.441 -175.2754
98.144540 70.417 -175.3821
98.510750 70.393 -175.4877
98.876961 70.370 -175.5922
99.243172 70.346 -175.6954
99.609383 70.323 -175.7974
99.975594 70.300 -175.8981
100.341805 70.277 -175.9975
100.708016 70.255 -176.0956
101.074227 70.232 -176.1924
101.440438 70.210 -176.2880
101.806649 70.188 -176.3823
102.172860 70.166 -176.4755
102.539071 70.145 -176.5674
102.905282 70.123 -176.6584
103.271493 70.102 -176.7483
103.637704 70.081 -176.8373
104.003915 70.061 -176.9254
104.370126 70.040 -177.0126
104.736337 70.020 -177.0991
105.102548 69.999 -177.1848
105.468759 69.979 -177.2697
105.834970 69.960 -177.3539
106.201181 69.940 -177.4374
106.567392 69.920 -177.5201
106.933603 69.901 -177.6021
107.299814 69.881 -177.6833
107.666025 69.862 -177.7637
108.032236 69.843 -177.8432
108.398447 69.824 -177.9219
108.764658 69.805 -177.9996
109.130869 69.787 -178.0765
109.497079 69.768 -178.1525
109.863290 69.750 -178.2276
110.229501 69.731 -178.3018
110.595712 69.713 -178.3751
110.961923 69.695 -178.4474
111.328134 69.677 -178.5190
111.694345 69.659 -178.5897
112.060556 69.641 -178.6597
112.426767 69.624 -178.7288
112.792978 69.606 -178.7972
113.159189 69.588 -178.8649
113.525400 69.571 -178.9320
113.891611 69.553 -178.9984
114.257822 69.536 -179.0643
114.624033 69.519 -179.1296
114.990244 69.501 -179.1943
115.356455 69.484 -179.2587
115.722666 69.467 -179.3226
116.088877 69.450 -179.3862
116.455088 69.433 -179.4493
116.821299 69.416 -179.5121
117.187510 69.399 -179.5746
117.553721 69.382 -179.6368
117.919932 69.365 -179.6986
118.286143 69.349 -179.7601
118.652354 69.332 -179.8214
119.018565 69.315 -179.8823
119.384776 69.299 -179.9428
119.750987 69.282 179.9970
120.117198 69.266 179.9372
120.483409 69.250 179.8777
120.849619 69.233 179.8187
121.215830 69.217 179.7600
121.582041 69.201 179.7018
121.948252 69.185 179.6439
122.314463 69.169 179.5865
122.680674 69.153 179.5295
123.046885 69.138 179.4730
123.413096 69.122 179.4168
123.779307 69.107 179.3611
124.145518 69.091 179.3058
124.511729 69.076 179.2509
124.877940 69.060 179.1965
125.244151 69.045 179.1424
125.610362 69.030 179.0887
125.976573 69.015 179.0356
126.342784 69.000 178.9828
126.708995 68.985 178.9305
127.075206 68.970 178.8786
127.441417 68.955 178.8272
127.807628 68.940 178.7762
128.173839 68.925 178.7258
128.540050 68.910 178.6758
128.906261 68.896 178.6262
129.272472 68.881 178.5771
129.638683 68.867 178.5286
130.004894 68.853 178.4804
130.371105 68.838 178.4328
130.737316 68.824 178.3856
131.103527 68.810 178.3389
131.469738 68.796 178.2927
131.835948 68.782 178.2470
132.202159 68.768 178.2017
132.568370 68.754 178.1570
132.934581 68.741 178.1127
133.300792 68.727 178.0689
133.667003 68.713 178.0256
134.033214 68.700 177.9828
134.399425 68.686 177.9404
134.765636 68.673 177.8986
135.131847 68.659 177.8573
135.498058 68.646 177.8165
135.864269 68.633 177.7761
136.230480 68.619 177.7362
136.596691 68.606 177.6968
136.962902 68.593 177.6579
137.329113 68.580 177.6194
137.695324 68.567 177.5814
138.061535 68.554 177.5438
138.427746 68.541 177.5067
138.793957 68.528 177.4699
139.160168 68.515 177.4336
139.526379 68.502 177.3976
139.892590 68.490 177.3621
140.258801 68.477 177.3270
140.625012 68.464 177.2922
140.991223 68.452 177.2578
141.357434 68.439 177.2237
141.723645 68.427 177.1899
142.089856 68.414 177.1566
142.456067 68.402 177.1235
142.822278 68.390 177.0909
143.188488 68.378 177.0585
143.554699 68.365 177.0264
143.920910 68.353 176.9947
144.287121 68.341 176.9633
144.653332 68.329 176.9321
145.019543 68.318 176.9012
145.385754 68.306 176.8707
145.751965 68.294 176.8404
146.118176 68.282 176.8104
146.484387 68.271 176.7806
146.850598 68.259 176.7512
147.216809 68.248 176.7219
147.583020 68.236 176.6930
147.949231 68.225 176.6643
148.315442 68.213 176.6358
148.681653 68.202 176.6076
149.047864 68.191 176.5796
149.414075 68.180 176.5519
149.780286 68.169 176.5244
150.146497 68.158 176.4971
150.512708 68.147 176.4700
150.878919 68.136 176.4432
151.245130 68.125 176.4166
151.611341 68.114 176.3902
151.977552 68.103 176.3640
152.343763 68.093 176.3380
152.709974 68.082 176.3123
153.076185 68.071 176.2867
153.442396 68.061 176.2614
153.808607 68.050 176.2362
154.174818 68.040 176.2112
154.541028 68.029 176.1865
154.907239 68.019 176.1619
155.273450 68.008 176.1375
155.639661 67.998 176.1133
156.005872 67.988 176.0893
156.372083 67.977 176.0655
156.738294 67.967 176.0419
157.104505 67.957 176.0185
157.470716 67.947 175.9953
157.836927 67.937 175.9723
158.203138 67.926 175.9495
158.569349 67.916 175.9269
158.935560 67.906 175.9045
159.301771 67.896 175.8824
159.667982 67.886 175.8605
160.034193 67.876 175.8387
160.400404 67.866 175.8173
160.766615 67.856 175.7960
161.132826 67.846 175.7750
161.499037 67.836 175.7543
161.865248 67.827 175.7338
162.231459 67.817 175.7134
162.597670 67.807 175.6934
162.963881 67.797 175.6736
163.330092 67.787 175.6540
163.696303 67.778 175.6346
164.062514 67.768 175.6155
164.428725 67.758 175.5966
164.794936 67.749 175.5779
165.161147 67.739 175.5594
165.527357 67.730 175.5412
165.893568 67.720 175.5232
166.259779 67.711 175.5054
166.625990 67.701 175.4878
166.992201 67.692 175.4704
167.358412 67.682 175.4532
167.724623 67.673 175.4363
168.090834 67.664 175.4196
168.457045 67.654 175.4030
168.823256 67.645 175.3867
169.189467 67.636 175.3705
169.555678 67.626 175.3546
169.921889 67.617 175.3387
170.288100 67.608 175.3232
170.654311 67.599 175.3078
171.020522 67.590 175.2926
171.386733 67.581 175.2775
171.752944 67.572 175.2627
172.119155 67.563 175.2480
172.485366 67.554 175.2335
172.851577 67.545 175.2191
173.217788 67.536 175.2048
173.583999 67.527 175.1907
173.950210 67.519 175.1768
174.316421 67.510 175.1630
174.682632 67.501 175.1494
175.048843 67.493 175.1358
175.415054 67.484 175.1224
175.781265 67.475 175.1091
176.147476 67.467 175.0959
176.513687 67.459 175.0829
176.879897 67.450 175.0701
177.246108 67.442 175.0574
177.612319 67.433 175.0447
177.978530 67.425 175.0323
178.344741 67.417 175.0199
178.710952 67.409 175.0078
179.077163 67.400 174.9957
179.443374 67.392 174.9838
179.809585 67.384 174.9720
180.175796 67.376 174.9604
180.542007 67.368 174.9490
180.908218 67.360 174.9377
181.274429 67.352 174.9267
181.640640 67.344 174.9158
182.006851 67.336 174.9050
182.373062 67.328 174.8945
182.739273 67.320 174.8842
183.105484 67.312 174.8740
183.471695 67.304 174.8640
183.837906 67.296 174.8542
184.204117 67.288 174.8446
184.570328 67.280 174.8352
184.936539 67.273 174.8260
185.302750 67.265 174.8170
185.668961 67.257 174.8081
186.035172 67.249 174.7994
186.401383 67.241 174.7910
186.767594 67.234 174.7827
187.133805 67.226 174.7746
187.500016 67.218 174.7667
187.866226 67.211 174.7589
188.232437 67.203 174.7512
188.598648 67.195 174.7438
188.964859 67.188 174.7365
