* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:33:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
91.918953 71.639 -175.0661
92.285164 71.613 -175.1859
92.651375 71.588 -175.3040
93.017586 71.563 -175.4204
93.383797 71.538 -175.5353
93.750008 71.513 -175.6486
94.116219 71.489 -175.7606
94.482430 71.465 -175.8710
94.848641 71.441 -175.9802
95.214852 71.417 -176.0881
95.581063 71.393 -176.1948
95.947274 71.369 -176.3003
96.313485 71.346 -176.4047
96.679696 71.323 -176.5080
97.045907 71.300 -176.6103
97.412118 71.277 -176.7115
97.778329 71.254 -176.8118
98.144540 71.231 -176.9111
98.510750 71.208 -177.0094
98.876961 71.186 -177.1068
99.243172 71.163 -177.2033
99.609383 71.141 -177.2990
99.975594 71.119 -177.3937
100.341805 71.097 -177.4876
100.708016 71.075 -177.5807
101.074227 71.053 -177.6731
101.440438 71.031 -177.7648
101.806649 71.009 -177.8557
102.172860 70.988 -177.9460
102.539071 70.966 -178.0356
102.905282 70.945 -178.1246
103.271493 70.923 -178.2131
103.637704 70.902 -178.3010
104.003915 70.881 -178.3883
104.370126 70.860 -178.4751
104.736337 70.839 -178.5614
105.102548 70.818 -178.6472
105.468759 70.798 -178.7324
105.834970 70.777 -178.8171
106.201181 70.757 -178.9013
106.567392 70.736 -178.9849
106.933603 70.716 -179.0679
107.299814 70.696 -179.1503
107.666025 70.676 -179.2322
108.032236 70.656 -179.3135
108.398447 70.637 -179.3941
108.764658 70.617 -179.4741
109.130869 70.598 -179.5535
109.497079 70.579 -179.6323
109.863290 70.560 -179.7105
110.229501 70.541 -179.7881
110.595712 70.522 -179.8651
110.961923 70.504 -179.9414
111.328134 70.485 179.9827
111.694345 70.467 179.9075
112.060556 70.449 179.8328
112.426767 70.431 179.7585
112.792978 70.413 179.6848
113.159189 70.396 179.6116
113.525400 70.378 179.5388
113.891611 70.361 179.4665
114.257822 70.344 179.3947
114.624033 70.327 179.3233
114.990244 70.309 179.2524
115.356455 70.293 179.1819
115.722666 70.276 179.1119
116.088877 70.259 179.0424
116.455088 70.242 178.9733
116.821299 70.226 178.9046
117.187510 70.209 178.8364
117.553721 70.192 178.7686
117.919932 70.176 178.7013
118.286143 70.159 178.6344
118.652354 70.143 178.5679
119.018565 70.126 178.5019
119.384776 70.110 178.4362
119.750987 70.094 178.3710
120.117198 70.077 178.3062
120.483409 70.061 178.2418
120.849619 70.045 178.1777
121.215830 70.028 178.1141
121.582041 70.012 178.0509
121.948252 69.996 177.9880
122.314463 69.979 177.9256
122.680674 69.963 177.8635
123.046885 69.947 177.8018
123.413096 69.931 177.7405
123.779307 69.915 177.6797
124.145518 69.899 177.6192
124.511729 69.883 177.5591
124.877940 69.867 177.4995
125.244151 69.852 177.4403
125.610362 69.836 177.3817
125.976573 69.820 177.3234
126.342784 69.805 177.2657
126.708995 69.789 177.2086
127.075206 69.774 177.1520
127.441417 69.759 177.0961
127.807628 69.743 177.0407
128.173839 69.728 176.9860
128.540050 69.713 176.9319
128.906261 69.698 176.8784
129.272472 69.683 176.8257
129.638683 69.668 176.7736
130.004894 69.653 176.7222
130.371105 69.638 176.6714
130.737316 69.624 176.6214
131.103527 69.609 176.5721
131.469738 69.594 176.5233
131.835948 69.580 176.4753
132.202159 69.566 176.4279
132.568370 69.551 176.3810
132.934581 69.537 176.3348
133.300792 69.523 176.2892
133.667003 69.508 176.2440
134.033214 69.494 176.1995
134.399425 69.480 176.1553
134.765636 69.466 176.1118
135.131847 69.452 176.0685
135.498058 69.438 176.0258
135.864269 69.425 175.9834
136.230480 69.411 175.9413
136.596691 69.397 175.8997
136.962902 69.384 175.8584
137.329113 69.370 175.8174
137.695324 69.357 175.7767
138.061535 69.343 175.7363
138.427746 69.330 175.6962
138.793957 69.317 175.6564
139.160168 69.304 175.6168
139.526379 69.290 175.5775
139.892590 69.277 175.5385
140.258801 69.264 175.4998
140.625012 69.251 175.4614
140.991223 69.238 175.4232
141.357434 69.225 175.3853
141.723645 69.213 175.3477
142.089856 69.200 175.3104
142.456067 69.187 175.2733
142.822278 69.174 175.2366
143.188488 69.162 175.2003
143.554699 69.149 175.1642
143.920910 69.136 175.1285
144.287121 69.124 175.0931
144.653332 69.111 175.0581
145.019543 69.099 175.0234
145.385754 69.086 174.9892
145.751965 69.074 174.9553
146.118176 69.062 174.9218
146.484387 69.049 174.8886
146.850598 69.037 174.8559
147.216809 69.025 174.8236
147.583020 69.013 174.7917
147.949231 69.000 174.7603
148.315442 68.988 174.7292
148.681653 68.976 174.6985
149.047864 68.964 174.6684
149.414075 68.952 174.6386
149.780286 68.940 174.6093
150.146497 68.928 174.5804
150.512708 68.916 174.5519
150.878919 68.904 174.5239
151.245130 68.893 174.4962
151.611341 68.881 174.4689
151.977552 68.869 174.4421
152.343763 68.857 174.4156
152.709974 68.845 174.3895
153.076185 68.834 174.3637
153.442396 68.822 174.3383
153.808607 68.811 174.3132
154.174818 68.799 174.2885
154.541028 68.788 174.2640
154.907239 68.776 174.2398
155.273450 68.765 174.2159
155.639661 68.753 174.1922
156.005872 68.742 174.1688
156.372083 68.731 174.1456
156.738294 68.719 174.1227
157.104505 68.708 174.1000
157.470716 68.697 174.0775
157.836927 68.686 174.0552
158.203138 68.675 174.0330
158.569349 68.664 174.0112
158.935560 68.653 173.9894
159.301771 68.642 173.9679
159.667982 68.631 173.9466
160.034193 68.620 173.9254
160.400404 68.609 173.9044
160.766615 68.599 173.8837
161.132826 68.588 173.8630
161.499037 68.577 173.8426
161.865248 68.567 173.8223
162.231459 68.556 173.8022
162.597670 68.546 173.7823
162.963881 68.535 173.7625
163.330092 68.525 173.7429
163.696303 68.514 173.7235
164.062514 68.504 173.7042
164.428725 68.494 173.6852
164.794936 68.484 173.6663
165.161147 68.474 173.6475
165.527357 68.463 173.6289
165.893568 68.453 173.6105
166.259779 68.443 173.5923
166.625990 68.433 173.5742
166.992201 68.423 173.5563
167.358412 68.413 173.5386
167.724623 68.404 173.5211
168.090834 68.394 173.5037
168.457045 68.384 173.4865
168.823256 68.374 173.4695
169.189467 68.364 173.4526
169.555678 68.355 173.4359
169.921889 68.345 173.4194
170.288100 68.336 173.4031
170.654311 68.326 173.3870
171.020522 68.316 173.3710
171.386733 68.307 173.3552
171.752944 68.297 173.3396
172.119155 68.288 173.3242
172.485366 68.279 173.3090
172.851577 68.269 173.2939
173.217788 68.260 173.2791
173.583999 68.251 173.2645
173.950210 68.241 173.2501
174.316421 68.232 173.2358
174.682632 68.223 173.2218
175.048843 68.214 173.2079
175.415054 68.205 173.1943
175.781265 68.196 173.1808
176.147476 68.187 173.1676
176.513687 68.178 173.1545
176.879897 68.169 173.1417
177.246108 68.160 173.1290
177.612319 68.151 173.1165
177.978530 68.142 173.1042
178.344741 68.133 173.0920
178.710952 68.125 173.0801
179.077163 68.116 173.0683
179.443374 68.107 173.0566
179.809585 68.099 173.0452
180.175796 68.090 173.0338
180.542007 68.082 173.0226
180.908218 68.073 173.0117
181.274429 68.065 173.0008
181.640640 68.056 172.9901
182.006851 68.048 172.9795
182.373062 68.039 172.9691
182.739273 68.031 172.9588
183.105484 68.023 172.9487
183.471695 68.014 172.9387
183.837906 68.006 172.9289
184.204117 67.998 172.9192
184.570328 67.990 172.9097
184.936539 67.982 172.9003
185.302750 67.973 172.8910
185.668961 67.965 172.8819
186.035172 67.957 172.8730
186.401383 67.949 172.8641
186.767594 67.941 172.8555
187.133805 67.933 172.8470
187.500016 67.925 172.8386
187.866226 67.917 172.8303
188.232437 67.909 172.8222
188.598648 67.901 172.8143
188.964859 67.893 172.8064
189.331070 67.885 172.7986
189.697281 67.877 172.7911
190.063492 67.869 172.7836
190.429703 67.861 172.7761
190.795914 67.853 172.7689
191.162125 67.845 172.7617
191.528336 67.837 172.7545
191.894547 67.829 172.7475
192.260758 67.822 172.7405
192.626969 67.814 172.7337
192.993180 67.806 172.7269
193.359391 67.798 172.7202
193.725602 67.791 172.7135
194.091813 67.783 172.7069
194.458024 67.775 172.7004
194.824235 67.768 172.6939
195.190446 67.760 172.6874
195.556657 67.752 172.6811
195.922868 67.745 172.6747
196.289079 67.737 172.6685
196.655290 67.730 172.6623
197.021501 67.722 172.6561
197.387712 67.715 172.6500
197.753923 67.707 172.6440
198.120134 67.700 172.6380
198.486345 67.692 172.6321
198.852556 67.685 172.6262
199.218766 67.678 172.6204
199.584977 67.670 172.6147
199.951188 67.663 172.6091
200.317399 67.656 172.6036
200.683610 67.649 172.5981
201.049821 67.642 172.5928
201.416032 67.634 172.5875
201.782243 67.627 172.5823
202.148454 67.620 172.5772
202.514665 67.613 172.5723
202.880876 67.606 172.5674
203.247087 67.599 172.5626
203.613298 67.592 172.5580
203.979509 67.585 172.5535
204.345720 67.578 172.5491
204.711931 67.571 172.5448
205.078142 67.564 172.5406
205.444353 67.557 172.5366
205.810564 67.551 172.5327
206.176775 67.544 172.5289
206.542986 67.537 172.5253
206.909197 67.530 172.5218
207.275408 67.524 172.5184
207.641619 67.517 172.5151
208.007830 67.510 172.5120
208.374041 67.503 172.5090
208.740252 67.497 172.5062
209.106463 67.490 172.5034
209.472674 67.484 172.5008
209.838885 67.477 172.4983
210.205095 67.470 172.4959
210.571306 67.464 172.4936
210.937517 67.457 172.4915
211.303728 67.451 172.4894
211.669939 67.444 172.4875
212.036150 67.438 172.4857
212.402361 67.431 172.4839
212.768572 67.425 172.4823
213.134783 67.419 172.4808
213.500994 67.412 172.4794
213.867205 67.406 172.4781
214.233416 67.399 172.4768
214.599627 67.393 172.4757
214.965838 67.387 172.4746
215.332049 67.380 172.4737
215.698260 67.374 172.4728
216.064471 67.368 172.4720
216.430682 67.361 172.4713
216.796893 67.355 172.4706
217.163104 67.349 172.4700
217.529315 67.343 172.4695
217.895526 67.336 172.4691
218.261737 67.330 172.4688
218.627948 67.324 172.4684
218.994159 67.318 172.4683
219.360370 67.312 172.4681
219.726581 67.305 172.4680
220.092792 67.299 172.4680
220.459003 67.293 172.4681
220.825214 67.287 172.4682
221.191425 67.281 172.4684
221.557635 67.275 172.4686
221.923846 67.269 172.4690
222.290057 67.263 172.4694
222.656268 67.257 172.4698
223.022479 67.251 172.4704
223.388690 67.245 172.4711
223.754901 67.239 172.4717
224.121112 67.233 172.4725
224.487323 67.227 172.4734
224.853534 67.221 172.4743
225.219745 67.215 172.4753
225.585956 67.209 172.4764
225.952167 67.204 172.4775
226.318378 67.198 172.4788
226.684589 67.192 172.4801
227.050800 67.186 172.4815
227.417011 67.180 172.4830
227.783222 67.175 172.4845
228.149433 67.169 172.4861
228.515644 67.163 172.4879
228.881855 67.157 172.4896
229.248066 67.152 172.4915
229.614277 67.146 172.4933
229.980488 67.140 172.4954
230.346699 67.135 172.4974
230.712910 67.129 172.4996
231.079121 67.124 172.5018
231.445332 67.118 172.5040
231.811543 67.112 172.5063
232.177754 67.107 172.5087
232.543965 67.101 172.5112
232.910175 67.096 172.5137
233.276386 67.090 172.5162
233.642597 67.085 172.5188
234.008808 67.080 172.5215
234.375019 67.074 172.5242
234.741230 67.069 172.5269
235.107441 67.063 172.5297
235.473652 67.058 172.5326
235.839863 67.053 172.5355
236.206074 67.047 172.5385
236.572285 67.042 172.5414
236.938496 67.037 172.5445
237.304707 67.031 172.5475
237.670918 67.026 172.5507
238.037129 67.021 172.5538
238.403340 67.015 172.5571
238.769551 67.010 172.5604
239.135762 67.005 172.5637
239.501973 67.000 172.5670
239.868184 66.994 172.5704
240.234395 66.989 172.5739
240.600606 66.984 172.5774
240.966817 66.979 172.5809
241.333028 66.974 172.5846
241.699239 66.969 172.5883
242.065450 66.963 172.5920
242.431661 66.958 172.5958
242.797872 66.953 172.5996
243.164083 66.948 172.6035
243.530294 66.943 172.6074
243.896504 66.938 172.6115
244.262715 66.933 172.6155
244.628926 66.928 172.6196
244.995137 66.923 172.6238
245.361348 66.918 172.6281
245.727559 66.913 172.6324
246.093770 66.908 172.6368
246.459981 66.903 172.6412
246.826192 66.898 172.6458
247.192403 66.893 172.6503
247.558614 66.888 172.6549
247.924825 66.884 172.6596
248.291036 66.879 172.6644
248.657247 66.874 172.6692
249.023458 66.869 172.6741
249.389669 66.864 172.6790
249.755880 66.859 172.6840
250.122091 66.855 172.6891
250.488302 66.850 172.6942
250.854513 66.845 172.6995
